experiment,resource_type,count,avg_per_series
q4_bo3_greedy_vs_simple_rule,reset,118,1.18
q4_bo3_greedy_vs_simple_rule,timeout,171,1.71
q4_bo3_greedy_vs_simple_rule,repair,99,0.99
q4_bo3_simple_rule_vs_simple_rule,reset,118,1.18
q4_bo3_simple_rule_vs_simple_rule,timeout,171,1.71
q4_bo3_simple_rule_vs_simple_rule,repair,99,0.99
q4_bo3_greedy_vs_greedy,reset,118,1.18
q4_bo3_greedy_vs_greedy,timeout,171,1.71
q4_bo3_greedy_vs_greedy,repair,99,0.99
q4_bo3_greedy_vs_random,reset,65,0.65
q4_bo3_greedy_vs_random,timeout,130,1.3
q4_bo3_greedy_vs_random,repair,99,0.99
